DATE,TIME,CLOSE,HIGH,LOW,OPEN,VOLUME
23/01/2017,16:41:00,9.564,9.564,9.564,9.564,2110
23/01/2017,16:42:00,9.559,9.563,9.559,9.563,942
23/01/2017,16:45:00,9.563,9.563,9.56,9.561,1584
23/01/2017,16:46:00,9.564,9.564,9.559,9.559,1393
23/01/2017,16:49:00,9.561,9.563,9.561,9.563,460
23/01/2017,16:51:00,9.561,9.561,9.561,9.561,81
23/01/2017,16:52:00,9.563,9.563,9.561,9.561,468
23/01/2017,16:53:00,9.567,9.567,9.563,9.563,421
23/01/2017,16:54:00,9.567,9.567,9.565,9.567,2358
23/01/2017,16:55:00,9.563,9.563,9.563,9.563,653
23/01/2017,16:56:00,9.568,9.568,9.56,9.56,2375
23/01/2017,16:59:00,9.565,9.565,9.562,9.563,1065
23/01/2017,17:00:00,9.563,9.563,9.56,9.56,1317
23/01/2017,17:01:00,9.563,9.563,9.563,9.563,15
23/01/2017,17:02:00,9.56,9.56,9.56,9.56,518
23/01/2017,17:04:00,9.567,9.57,9.565,9.565,4910
23/01/2017,17:06:00,9.57,9.57,9.568,9.568,1727
23/01/2017,17:07:00,9.576,9.576,9.572,9.572,350
23/01/2017,17:08:00,9.573,9.573,9.571,9.573,1456
23/01/2017,17:09:00,9.575,9.575,9.575,9.575,400
23/01/2017,17:10:00,9.576,9.576,9.573,9.574,2389
23/01/2017,17:11:00,9.576,9.577,9.573,9.577,539
23/01/2017,17:12:00,9.576,9.576,9.572,9.573,2696
23/01/2017,17:14:00,9.576,9.576,9.576,9.576,104
23/01/2017,17:15:00,9.569,9.574,9.569,9.572,2737
23/01/2017,17:16:00,9.567,9.567,9.563,9.567,3472
23/01/2017,17:17:00,9.572,9.572,9.562,9.565,12374
23/01/2017,17:18:00,9.572,9.572,9.568,9.57,1349
23/01/2017,17:19:00,9.578,9.578,9.573,9.573,2954
23/01/2017,17:20:00,9.578,9.578,9.578,9.578,86
23/01/2017,17:21:00,9.578,9.578,9.577,9.577,1372
23/01/2017,17:22:00,9.576,9.578,9.576,9.578,434
23/01/2017,17:23:00,9.574,9.576,9.574,9.576,1152
23/01/2017,17:24:00,9.573,9.573,9.573,9.573,670
23/01/2017,17:25:00,9.553,9.57,9.553,9.57,1248
23/01/2017,17:28:00,9.553,9.553,9.552,9.552,3029
23/01/2017,17:29:00,9.555,9.559,9.553,9.555,2450
23/01/2017,17:30:00,9.555,9.56,9.555,9.555,950
23/01/2017,17:36:00,9.555,9.555,9.555,9.555,240688
23/01/2017,17:36:00,9.55,9.55,9.55,9.55,4722
24/01/2017,09:02:00,9.55,9.55,9.549,9.549,3592
24/01/2017,09:03:00,9.56,9.56,9.555,9.555,1000
24/01/2017,09:04:00,9.585,9.585,9.57,9.57,1146
24/01/2017,09:05:00,9.595,9.595,9.58,9.58,2736
24/01/2017,09:06:00,9.599,9.599,9.598,9.598,1150
24/01/2017,09:07:00,9.594,9.594,9.594,9.594,625
24/01/2017,09:08:00,9.59,9.59,9.59,9.59,5000
24/01/2017,09:10:00,9.577,9.577,9.577,9.577,169
24/01/2017,09:11:00,9.589,9.589,9.575,9.577,245
24/01/2017,09:12:00,9.557,9.567,9.557,9.567,462
24/01/2017,09:15:00,9.558,9.558,9.558,9.558,194
24/01/2017,09:20:00,9.559,9.559,9.559,9.559,250
24/01/2017,09:22:00,9.559,9.559,9.559,9.559,332
24/01/2017,09:23:00,9.555,9.555,9.555,9.555,15
24/01/2017,09:24:00,9.559,9.56,9.549,9.555,2649
24/01/2017,09:25:00,9.561,9.561,9.559,9.559,3000
24/01/2017,09:26:00,9.559,9.559,9.559,9.559,60
24/01/2017,09:29:00,9.546,9.546,9.546,9.546,1748
24/01/2017,09:31:00,9.549,9.552,9.549,9.549,1453
24/01/2017,09:34:00,9.552,9.552,9.552,9.552,98
24/01/2017,09:35:00,9.548,9.55,9.546,9.55,5418
24/01/2017,09:37:00,9.564,9.564,9.556,9.556,5287
24/01/2017,09:40:00,9.58,9.58,9.569,9.569,2872
24/01/2017,09:41:00,9.569,9.582,9.569,9.582,274
24/01/2017,09:46:00,9.569,9.569,9.567,9.567,923
24/01/2017,09:48:00,9.575,9.575,9.575,9.575,6
24/01/2017,09:49:00,9.584,9.597,9.575,9.575,26242
24/01/2017,09:50:00,9.58,9.585,9.58,9.585,1181
24/01/2017,09:51:00,9.58,9.58,9.58,9.58,472
24/01/2017,09:54:00,9.598,9.598,9.592,9.592,2487
24/01/2017,09:55:00,9.598,9.598,9.596,9.596,1987
24/01/2017,09:56:00,9.588,9.594,9.588,9.594,1314
24/01/2017,09:57:00,9.586,9.589,9.586,9.589,2181
24/01/2017,09:59:00,9.584,9.584,9.584,9.584,570
24/01/2017,10:01:00,9.583,9.583,9.583,9.583,7
24/01/2017,10:04:00,9.583,9.583,9.583,9.583,261
24/01/2017,10:05:00,9.585,9.585,9.58,9.581,13526
24/01/2017,10:06:00,9.585,9.585,9.585,9.585,927
24/01/2017,10:07:00,9.585,9.585,9.581,9.581,700
24/01/2017,10:08:00,9.59,9.59,9.59,9.59,1000
24/01/2017,10:09:00,9.59,9.59,9.587,9.587,853
24/01/2017,10:10:00,9.588,9.588,9.588,9.588,70
24/01/2017,10:12:00,9.596,9.596,9.595,9.595,544
24/01/2017,10:14:00,9.588,9.588,9.588,9.588,1000
24/01/2017,10:15:00,9.595,9.595,9.595,9.595,172
24/01/2017,10:16:00,9.595,9.596,9.595,9.595,1107
24/01/2017,10:18:00,9.59,9.59,9.59,9.59,515
24/01/2017,10:19:00,9.588,9.589,9.585,9.589,9722
24/01/2017,10:20:00,9.577,9.587,9.577,9.586,9602
24/01/2017,10:22:00,9.57,9.57,9.57,9.57,49
24/01/2017,10:24:00,9.576,9.579,9.576,9.576,14062
24/01/2017,10:25:00,9.576,9.577,9.576,9.577,3164
24/01/2017,10:26:00,9.584,9.584,9.577,9.577,3987
24/01/2017,10:27:00,9.57,9.578,9.57,9.578,9773
24/01/2017,10:28:00,9.567,9.57,9.567,9.57,5757
24/01/2017,10:29:00,9.58,9.58,9.576,9.576,2634
24/01/2017,10:30:00,9.58,9.58,9.58,9.58,877
24/01/2017,10:31:00,9.585,9.585,9.585,9.585,641
24/01/2017,10:32:00,9.587,9.587,9.584,9.584,897
24/01/2017,10:33:00,9.607,9.607,9.59,9.59,20792
24/01/2017,10:34:00,9.608,9.608,9.608,9.608,176
24/01/2017,10:35:00,9.6,9.602,9.6,9.602,3796
24/01/2017,10:36:00,9.605,9.605,9.605,9.605,1114
24/01/2017,10:37:00,9.603,9.603,9.603,9.603,74
24/01/2017,10:39:00,9.617,9.622,9.61,9.61,12334
