Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Hartford ,1,2015-20506,03/07/2015,14:43,Male,White,TRUE,"5'7""",170,42,D,,,"1, 5 sec.",,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,Motor vehicle collision,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,,
East Hampton,1,15-4913,04/07/2015,03:00,Male,White,FALSE,"6'3""",235,43,C,,,,5 sec,1,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,,,,TRUE,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,TRUE,
CSP (State Police),1,1500394568,04/07/2015,09:15,Male,White,FALSE,"5'9""",170,39,C,,,,7 sec,1,FALSE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,TRUE,TRUE,,,,,TRUE,,
Hartford ,1,2015-20603,04/07/2015,19:23,Male,White,TRUE,"6'2""",195,35,C,D,,"1, 3 sec.","4, 20 sec.",5,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,not initial officer on scene,,,,,,,,TRUE,evading motor vehicle collision,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,
Norwalk,1,15-29264,04/07/2015,03:04,Male,White,TRUE,"6'3""",220,28,D,,,5 sec,,1,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,,,,,,,
Newington,1,I20152243,05/07/2015,17:26,Male,White,FALSE,"5'6""",100,23,C,,,,5 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,,TRUE,,foot chase of wanted person,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,
Waterbury,1,2015-37129,06/07/2015,21:50,Male,White,FALSE,"5'10""",160,24,C,,,,2 - 5 sec each,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,TRUE,,,,,,TRUE,,
Norwalk,1,15-29816,07/07/2015,12:45,Male,Black,FALSE,"5'10""",140,51,C,,,,5 sec,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,TRUE,TRUE,,,,,,,TRUE,TRUE,,,,,,TRUE,,,TRUE,,,,,,,
Shelton,1,15-10109,07/07/2015,10:30,Male,White,TRUE,"5'10""",200,47,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,TRUE,,,,,,,,,,,history of fleeing and was attempting to do so,,,,,TRUE,,,,,,TRUE,,
New Haven,1,15-31057,07/07/2015,16:30,Male,Black,FALSE,"5'8""",160,35,C,,,,5 seconds,1,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,,,TRUE,,,,,,,,
Waterbury,2,2015-37332,07/07/2015,18:32,Male,Black,FALSE,"6'2""",270,31,C,L ,,,5/6/4 seconds,3,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,TRUE,,
Bloomfield,1,15-18782,08/07/2015,02:17,Male,White,FALSE,6',180,23,D,,,"1, 5 sec.",,1,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,
Meriden,2,15-05425 #1,08/07/2015,20:54,Male,White,TRUE,"5'10""",160,24,C,D,,"2, 5 seconds each","3, 9 seconds, 5 sec., 5 sec. ",5,FALSE,TRUE,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Other Residence,Marked Cruiser,,,,TRUE,,TRUE,,,,"medical emergency, family fighting, assaulted EMS/Fire/Police",,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,assaulted officer
Hartford ,1,2015-21128,09/07/2015,12:38,Male,Black,FALSE,"5'9""",155,33,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,not initial officer on scene,,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,TRUE,,
New Haven,1,15-31449,09/07/2015,22:00,Male,Black,FALSE,"5'9""",148,15,C,,,,,U,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,TRUE,,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,,,
East Hartford,1,15-18304,10/07/2015,10:18,Male,White,FALSE,"5'8""",240,57,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,TRUE,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,,,TRUE,TRUE,
Hartford ,1,2015-21270,10/07/2015,14:40,Male,White,TRUE,"5'8""",160,27,C,,,,"3, 12 sec.",3,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,
Naugatuck,1,15-17925,13/07/2015,17:10,Male,White,FALSE,"6'4""",191,50,C,,,,5 seconds,1,TRUE,TRUE,,TRUE,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,TRUE,,,TRUE,,,,,,,previously fled from police,,,,,TRUE,,,,,,,,
Waterbury,1,2015-38622,13/07/2015,23:00,Male,Black,FALSE,"5'4""",125,19,L,,display only,,,0,TRUE,TRUE,,TRUE,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,,,,,,TRUE,,,,,,,,,,firearm,,,,,,TRUE,,TRUE,,,,TRUE,,
Norwalk,1,15-30997,14/07/2015,17:52,Male,White,FALSE,"5'8""",165,27,C,,,,5 sec,1,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,TRUE,,,,,,,,,,,"nervous, agitated",,,,,TRUE,,,,,,,,
Hartford ,1,2015-21934,16/07/2015,13:01,Male,Black,FALSE,"5'10""",170,40,C,,,,"1, 5 sec.",1,,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,,Motor vehicle collision,,,TRUE,,,,,,,TRUE,,,TRUE,,,,,,TRUE,,
Danbury,1,1500047332,16/07/2015,12:20,Male,White,FALSE,"5'7""",140,28,C,,,,16 seconds,1,TRUE,TRUE,,TRUE,TRUE,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,,,,,,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,TRUE,,,,,,,
Danbury,1,1500047524,17/07/2015,02:50,Male,White,FALSE,Unknown,Unknown,33,D,,,2-3 seconds,,2,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,possible firearm,,TRUE,,TRUE,,,,,,,,,,actively fighting with troopers/officers
CSP (State Police),1,1500422381,17/07/2015,02:29,Male,White,FALSE,6',250,33,C,,5 sec.,,"1, 5 sec.",1,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,,,,,TRUE,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,,
Torrington,1,15-27688,17/07/2015,03:04,Male,White,FALSE,"5'11""",240,27,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,,
Milford,1,2015004224,18/07/2015,20:29,Male,White,FALSE,"5'8""",220,53,C,,,,14 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,TRUE,,,,disrupting Emergency Room operations,,,,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Portland,1,15-2645,18/07/2015,15:27,Male,White,FALSE,"5'6""",185,49,C,,,,(1) 5 sec,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,,TRUE,
CSP (State Police),1,1500426171,19/07/2015,18:11,Male,White,FALSE,"5'10""",175,52,D,,,"5 seconds, 5 seconds",,2,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,TRUE,,,,,,,,,,,,
Farmington,1,15-12817,19/07/2015,03:08,Male,White,FALSE,"5'10""",175,38,L,,40-50 seconds,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Commercial Establishment,Officer in Uniform,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,,
Wallingford,1,2015-15570,19/07/2015,19:20,Male,White,FALSE,"5'7""",150,36,L,,,,,0,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,,,,,,,"while in cell, subject cut self with box cutter in his possession",,TRUE,TRUE,TRUE,TRUE,TRUE,box cutter,,TRUE,,,,,,,TRUE,,,,,
New London,1,15-002278,19/07/2015,01:35,Male,White,FALSE,"5'9""",180,27,C,,,,1/5 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,TRUE,,,,,,,,,TRUE,,TRUE,TRUE,,,TRUE,,,,,TRUE,,,,,,,
Hartford ,1,2015-22281,19/07/2015,21:12,Male,White,FALSE,Unknown,Unknown,27,C,,,,"1, 5 sec.",1,,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,knife,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,
Torrington,1,15-28228,20/07/2015,20:26,Male,White,TRUE,"5'10""",160,46,L,,,,,0,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,TRUE,,TRUE,,,possibly long rifle,,TRUE,,,,,,,,,,,,
West Haven,1,1500029216,20/07/2015,00:55,Male,White,TRUE,"5'9""",180,39,C,,,,"2, 10 sec.",2,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,foot pursuit,,,,,TRUE,TRUE,facsimile firearm,,,,,,TRUE,,,,,,,,active resistance
Glastonbury,1,15-9279,20/07/2015,17:31,Male,White,TRUE,"5'8""",172,27,C,,,,2 cycles,2,TRUE,TRUE,,,TRUE,,TRUE,,,,TRUE,,,TRUE,,,,,,Outdoors-Private Property,Marked Cruiser,,TRUE,,TRUE,,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,,,
Norwalk,2,15-31921,20/07/2015,02:30,Male,White,TRUE,"5'10""",260,51,C,D,,5 sec.,5 sec,2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,fleeing,TRUE,TRUE,TRUE,,,,,,,,,,
Putnam,1,14-6711-AR,21/07/2015,20:53,Male,White,FALSE,"6'0""",190,61,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,TRUE,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,TRUE,,,,,TRUE,,
Stamford,1,1507210226,21/07/2015,21:33,Female,White,TRUE,"5'7""",150,42,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Officer in Uniform,,,TRUE,,,,,,TRUE,,,,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,TRUE,,,,,TRUE,,
Bridgeport,1,20150721-171,21/07/2015,14:50,Male,White,TRUE,"5'6""",Unknown,31,C,D,,"1, 2 sec","1, 5 sec",2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,,,
Naugatuck,1,15-18880,21/07/2015,20:15,Male,White,FALSE,"5'8""",195,22,C,,,,5 seconds,1,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,knife,,,,,,,,TRUE,,,,TRUE,
Westport,1,2015-012515,22/07/2015,21:54,Male,White,FALSE,"5'7""",160,56,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Unmarked Vehicle,,,,,,TRUE,,,,suicide threat,,,,TRUE,,TRUE,unknown object in hand,,TRUE,TRUE,TRUE,,,,,,,,,TRUE,
Naugatuck,1,15-18992,22/07/2015,22:15,Male,White,FALSE,"5'11""",250,41,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,TRUE,,,,,,,,,,
Hartford ,1,2015-22721,22/07/2015,23:30,Male,White,TRUE,"5'7""",180,36,D,,,"2, 10 sec.",,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Private Property,Marked Cruiser,not initial officer on scene,TRUE,,,,,,,TRUE,,,,TRUE,,,TRUE,,,,TRUE,,,,,TRUE,,,,TRUE,,
East Hartford,1,15-19560,22/07/2015,22:32,Male,White,FALSE,"6'3""",230,32,D,,,10 seconds,,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,
Manchester,1,M2015-08127,22/07/2015,18:00,Male,White,TRUE,5'1',240,32,D,,,,,U,TRUE,TRUE,,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,TRUE,,
Groton City,1,15-8364-AR,23/07/2015,20:11,Male,Black,FALSE,"5'6""",200,37,C,,15-20 feet,,1,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,TRUE,,,TRUE,TRUE,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
CSP (State Police),1,1500438587,24/07/2015,19:17,Male,White,FALSE,"6'2""",215,35,C,,,,7 seconds,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,,,,TRUE,,TRUE,,,,,TRUE,,,TRUE,,,,,,TRUE,,
Wilton,1,1500007987,24/07/2015,08:31,Male,White,FALSE,"6'0""",150,19,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,TRUE,Subject's Residence,Marked Cruiser,,,,,,TRUE,,TRUE,,,,,,,,,,sleeping,,TRUE,TRUE,,,,,,,,,,
CSP (State Police),1,1500438933,24/07/2015,23:17,Male,White,FALSE,"5'10""",185,44,D,,,"4 sec, 2 sec",,2,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,,TRUE,,,,,,,,TRUE,TRUE,TRUE,,,subject admitted to drug/alcohol use,TRUE,,TRUE,,,TRUE,,,,,,TRUE,
Trumbull,1,1500011640,25/07/2015,21:20,Male,White,FALSE,"6'5""",200,24,U,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,TRUE,,,,,,,,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,,,,TRUE,,
Cheshire,1,2015-15549,26/07/2015,19:45,Male,White,FALSE,"5'10""",154,58,U,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Officer in Uniform,,,TRUE,,,,,,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,
Waterford,1,2015-01561,26/07/2015,01:56,Male,White,FALSE,"6'3""",230,22,D,,,"2-3 sec, 3-5 times",2-3 sec,4,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,,,,TRUE,motor vehicle accident,,,TRUE,,,,,,,TRUE,TRUE,,,,,,,,TRUE,,
Middletown,1,15-19010,27/07/2015,14:25,Male,White,FALSE,"5'6""",215,49,C,D,,"2 sec., 3sec.",9 sec.,3,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,TRUE,,,TRUE,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,,,,EDP
Bridgeport,1,150728-190,28/07/2015,16:17,Male,White,TRUE,"5'8""",130,18,D,,,"2, 5 sec",,2,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,TRUE,,,,,TRUE,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,TRUE,TRUE,,,,ECW,,,
Berlin,1,2015-15424,29/07/2015,21:32,Male,White,FALSE,"6'6""",230,32,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,TRUE,,,,,,,,,,,,,TRUE,,,,,,,,TRUE,,,,,,,
Hartford ,1,2015-23626,30/07/2015,10:25,Male,White,TRUE,"5'8""",230,35,C,,,,"2, 10 sec. ",2,FALSE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,TRUE,,,,,,,,,TRUE,,,TRUE,TRUE,,,TRUE,,,,,,TRUE,,
Bridgeport,1,1500453325,31/07/2015,23:15,Male,White,FALSE,"6'3""",250,33,C,D,,"1, 5sec.","1, 5 sec.",2,TRUE,TRUE,,TRUE,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Officer in Uniform,arrive on police ATV,,,,,,,,,undercover narcotics operation,TRUE,,TRUE,,,,,,,,TRUE,,TRUE,,,,,,,,
Derby,1,15-8182,31/07/2015,17:21,Male,Black,FALSE,"6'2""",180,21,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Officer in Uniform,,,,TRUE,,TRUE,,,,police booking,,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,TRUE,,
Bridgeport,1,150801098,01/08/2015,09:48,Male,Black,FALSE,"5'11""",190,31,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,,,,,TRUE,,,,,,,,,,,subject was walking and officer encountered,,,,,,,,,,,,,
Norwalk,1,15-34070,01/08/2015,03:24,Male,Black,FALSE,"5'9""",200,24,C,,,,5 sec,1,TRUE,TRUE,,,TRUE,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,TRUE,,,,,,,,,,,fleeing,,,,,TRUE,,,,,,,,
Naugatuck,1,15-20350,02/08/2015,03:28,Male,White,FALSE,"6'0""",170,27,C,D,,3 seconds,no probe contact,1,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,previously fled from police,,,,,TRUE,,,,,,,,
Southington,1,2015-8008,02/08/2015,21:11,Male,White,FALSE,"6'0""",200,23,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,,,,
Southington,1,2015-7982,02/08/2015,05:37,Male,White,FALSE,"6'2""",165,20,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,
New Milford,1,15-37254-OF,03/08/2015,19:36,Female,White,FALSE,"5'9""",250,32,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,TRUE,knife,,TRUE,,TRUE,TRUE,,,,TRUE,,,,TRUE,
Waterford,1,2015-01645,07/08/2015,01:11,Male,White,FALSE,"6'0""",220,54,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,TRUE,,,,,,,,TRUE,,TRUE,,,,,,TRUE,,,,,,,,TRUE,,
Berlin,1,2015-16035,07/08/2015,18:39,Male,White,FALSE,"5'10""",150,38,L,,,,,0,FALSE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,,,TRUE,,,TRUE,,,,,,,attempting to hide with hands not in view,,,,,,,,,,,,,attempting to hide with hands not in view
Norwalk,2,15-35265,07/08/2015,18:17,Male,Black,FALSE,"5'11""",180,25,C,L ,,,"3 sets of 5 sec, 10 second breaks",3,TRUE,TRUE,,,,,TRUE,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Unmarked Vehicle,,TRUE,,,,,TRUE,,,trespass,,,TRUE,,,TRUE,,,,,,,TRUE,,,,,,TRUE,,
New Milford,1,15-38107-AR,08/08/2015,00:14,Male,White,FALSE,"6'3""",200,55,C,,,,,U,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,TRUE,,TRUE,,TRUE,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,,TRUE,TRUE,,,,,,,TRUE,,
Bethel,1,15-9325,08/08/2015,09:37,Male,Black,FALSE,"5'8""",Unknown,39,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,,TRUE,,,,TRUE,,,,TRUE,,,,,,,,
Danbury,1,1500053160,08/08/2015,14:12,Male,White,TRUE,"5'6""",140,23,L,,10 seconds,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,TRUE,TRUE,,,,,,,,,,,,,,Knife,,,,,,,,,TRUE,,,,,
Norwalk,1,15-35460,08/08/2015,16:10,Male,Black,FALSE,"5'6""",120,23,C,,,,2 at 5 sec each,2,FALSE,FALSE,TRUE,,,,,,,TRUE,FALSE,TRUE,,,,,,,,Outdoors-Private Property,Marked Cruiser,,,,,,,TRUE,,,,,,,TRUE,,TRUE,hammer,,,,,,TRUE,,,,,,TRUE,,
Norwalk,1,15-35576,09/08/2015,06:00,Male,White,TRUE,"5'7""",130,23,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,smashing objects in apartment with hammer,,,,TRUE,,TRUE,hammer,,,,,,,,,,,hammer,TRUE,,
Milford,1,2015-04911,09/08/2015,08:15,Female,White,FALSE,Unknown,Unknown,16,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,TRUE,TRUE,
Windsor,1,2015-27990,10/08/2015,21:41,Male,Black,FALSE,Unknown,Unknown,22,D,,,2 applications - 5 sec/2 sec,,2,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,
Uconn Health,1,15-00019171,11/08/2015,23:42,Male,White,TRUE,"5'11""",195,49,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,,,,TRUE,,,,,,,,TRUE,,,utility knife,,,,,,,,,,,,,TRUE,
