Law Enforcement Agency,Number of Incident Reports,Incident Case Number,Date of Incident,Time of Incident,Sex,Race,Hispanic,Height,Weight,Age,Deployment Type I,Deployment Type II,Displays or Arc,Drive Stun Application,Activation After Probe Contact,Number of Deployments,Warning to Subject,Subject Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Officer Injured,Not Injured,Bruises,Abrasions,Breathing Difficulty,Probe Puncture Only,Lost Consciousness,Death,Other,Location Environment,Officer's Arrival,,Crime in Progress,Domestic Disturbance,Disturbance (Other),Traffic Stop,Emotionally Disturbed Person,Suspicious Person,Executing Warrant,Under Influence,Other,Non-aggressive,Previous Hostility,Possibly Intoxicated,Emotionally Disturbed,Aggressive (Verbal),Aggressive (Physical),Armed with,Other,Threat/ Hostile,Dead Weight/ Non Compliant,Fighting Stance/ Combative,Threaten Use of Weapon,Fleeing,Unarmed Assault,Armed with Firearm,Armed with Edged Weapon,Armed with Blunt Instrument,Armed with Other,Failed to Follow Directions,Suicidal,Other
Middletown,1,15-04060,17/02/2015,13:56,Male,White,FALSE,"5'10""",180,34,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,,,TRUE,,,,,,,,,,,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,Chair,,,
Hartford ,1,2015-05399,20/02/2015,16:31,Male,Black,FALSE,"5'10""",160,40,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,,,,,TRUE,TRUE,TRUE,,,TRUE,,,,,,,
Torrington,1,15-6425,20/02/2015,23:50,Male,White,FALSE,"5'8""",175,26,C,,,,5 seconds,1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,
Manchester,1,M201501726,21/02/2015,17:15,Male,Black,FALSE,"6'3""",200,27,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,
Branford,1,15-4440,21/02/2015,11:32,Male,White,FALSE,"5'8""",155,17,L,,,,,0,TRUE,FALSE,TRUE,,,,,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Officer in Uniform,,,TRUE,,,TRUE,,,,,,,,TRUE,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,TRUE,TRUE,
Manchester,1,M201501759,23/02/2015,01:06,Male,White,FALSE,"6'0""",190,56,D,,,,,U,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Indoors-Public Building,Marked Cruiser,,TRUE,,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,,,TRUE,,
New Britain,1,15-4246,23/02/2015,01:30,Male,White,TRUE,"5'6""",170,39,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,TRUE,,,,,,FALSE,TRUE,,,,,,,,Outdoors-Public Area,Marked Cruiser,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,resisting officers commands including actively concealing arms under body
Hartford ,1,2015-05636,23/02/2015,13:10,Female,Black,FALSE,Unknown,Unknown,20,C,,2 sec.,,20 sec.,4,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Subject's Residence,Marked Cruiser,not initial officer on scene,,,,,TRUE,,,TRUE,,,,TRUE,TRUE,,TRUE,,nude and covered in feces,TRUE,TRUE,,,,,,,,lighter,TRUE,,
East Hartford,1,15-4767,24/02/2015,21:28,Male,Unknown,TRUE,"5'10""",185,35,C,,,,6 seconds,1,TRUE,FALSE,TRUE,,,,,,,,TRUE,,,,,TRUE,,,,Subject's Residence,Not Initial Officer on Scene,,,TRUE,,,,,,TRUE,,,,TRUE,,,TRUE,,,,,,,,,,,,,TRUE,,
Hartford ,1,2015-05815,24/02/2015,21:20,Male,White,TRUE,6',170,29,C,,,,"1, 5 sec.",1,TRUE,TRUE,,,,,TRUE,,,,FALSE,TRUE,,,,,,,,Other Residence,Marked Cruiser,,,TRUE,,,,,,TRUE,,,,TRUE,,,TRUE,,,TRUE,TRUE,TRUE,,TRUE,,,,,,,,
